པ,38975
བ,16639
པོ,10704
ན,9004
ཚོ,5971
མ,5650
འདྲ,4366
ཡ,4060
ནི,3614
ནས,2881
དུས,2767
རེ,2588
ག,2308
བོ,2271
རང,2241
རེད,2200
མོ,1662
ས,1639
སོ,1580
གནས,1568
དག,1487
ཆ,1358
ཡང,1263
ད,1164
བུ,1132
ལ,1115
བཞིན,1093
བྱ་བ,1032
ཙམ,944
གྲྭ,939
སོགས་པ,874
ཉིད,869
སྟངས,860
ལེ,844
ལྟར,844
ལྟ,835
ཀ,829
ལགས,802
ཚོད,799
འདུག,772
སྦྱོང,739
མཁན,726
ཅན,710
ཚོགས,698
པར,693
མེད,690
ཆེ,669
ལས,653
ཁང,651
བཏང,651
གཞི,637
པས,619
རྒྱུན,597
སང,593
ཏེ,584
ཤས,568
རྒྱས,552
ཆེན,550
ལག,544
གཏོགས,543
ཡིག,542
ཡིན་པ,540
གོ,526
ཚུལ,518
ན་ཡང,514
ལམ,503
ཡིན་དུས,496
རིང,491
ཞིག,477
ལོ,476
གཉིས,471
གསུམ,470
ཤེས,470
རིགས,470
ཅད,460
+པ,459
ཁ,453
ལེན,447
བློ,432
ཤག,427
ཆུང,425
ཆེན་པོ,419
ཆོས,418
རང་ཚོ,415
དོན,415
ཆགས,412
ཚང,408
ལོགས,405
པོ་ཆེ,404
འཛིན,400
ལུགས,395
དུ,392
གཅིག,387
སློང,374
སེ,368
རིམ,368
སྐད,361
?,349
རབས,345
གུ,340
ར,338
ཕྱོགས,335
ཡུལ,322
སྤྱོད,312
བྱེད,310
རྒྱུས,310
མི,301
བྱ,300
འདུག་ག,287
དུང,284
སྐབས,283
སྲིད,283
ཐང,275
འདས,275
ཤོས,274
ཙང,272
འཇུག,271
ཙི,270
སོང,269
དབང,267
ཀྱོག,266
འགྲོ,265
བསྔལ,263
གི,261
བྱས,257
ཏག,257
རེད་པ,256
གེ,256
དེ,254
ཟད,253
བཤད,251
ལྔ,250
གར,249
མེད་པ,248
དྲག,247
རྩལ,247
ཆེར,247
ཚད,247
མིན,246
ལྡན,245
རྗེ,238
སྲོལ,238
ཅིག,237
རྟེན,237
ནེ,237
མཚན,236
ལྡན་འདས,236
རིག,226
གཏན,226
བསལ,225
ཉིན,222
གླིང,221
ཏུ,220
གནས་དྲང་གནས,218
དྲང་གནས,218
འཁོར,217
གསོ,216
ཚན,214
སྣང,213
བཅུ,211
ངལ,208
ཅག,206
ཚིག,205
རྐྱེན,204
ག་རང,204
ཁུལ,203
བཞི,202
ཆས,202
ལྟ་བུ,202
གས,201
ཕྱིར,200
དགོས,198
ཤེས་པ,198
མཚམས,197
རྒྱལ,193
རྒན,193
ཆེ་བ,192
ཆད,192
རྒྱུ,189
ཏན,188
བརྒྱ,187
དག་པ,186
དོག,186
མཆོག,181
སྒྲིག,180
ངག,178
གླེང,177
བྱུང,175
ཡོད,175
འགྱུར,175
རྐྱང,173
འདུན,172
སྤྲོད,172
གཤིས,172
ང,170
ལྗོངས,169
ཕྲུག,168
ཡུག,167
ཐོག,167
གྲངས,165
ཟག,165
རེད་ད,165
ཀྱང,165
ཐོགས,164
གྲུབ,164
བཟང,163
མི་འདྲ,162
གྲོགས,162
རབ,161
མོངས་པ,158
ཉན,157
ཏོག,157
གཞུང,156
ཁྲིད,156
སུ,154
སྟོན,154
འབྱུང,153
ཚེ,153
པ་ལ,152
ངན,151
