དེ,10597
མ,5614
ཡིན,5492
ཨ,4428
ཡོད,4041
རེད,3751
མི,3485
ག,3187
ང,3165
འདྲ,2969
འདུག,2120
ཁ,1957
མང,1796
སློབ,1791
བྱེད,1738
ད,1635
ཁོ,1563
དགེ,1537
ཡག,1500
མེད,1384
གང,1374
རྣམ,1368
དངོས,1346
བྱས,1344
འདི,1274
ནང,1243
ཞེ,1239
ལ,1237
སོ,1218
ལབ,1186
བསམ,1170
ཤེས,1124
བཤད,1112
ཞེས,1105
འགྲོ,1096
དགོས,1074
བོད,1060
ལས,1050
ཁྱེད,1021
རང,1004
གལ,986
དང,942
བྱ,934
ཞེས་བྱ,920
སྐད,906
ཟེར,883
ཚང,883
ཆོས,882
ལ་སོགས,874
དཔེ,869
ལོ,849
རྒན,811
འཛིན,768
གནས,707
རིག,684
ལྟ,684
གཞན,677
བླ,661
ས,659
ཆེན,659
དུས,658
རྒྱལ,636
ཡོང,630
སོང,625
སྤྱིར,622
བསྡད,616
རྒྱ,610
ཧ,602
ཇི,595
མ་རེད,593
སྤྱི,579
སེམས,578
སྔོན,573
ཉི,565
སྐྱེ,557
ཕ,554
ཆུ,551
ཚོགས,542
འདོད,534
ཉམས,532
དམིགས,529
གཅིག,524
ཡིན་ན,521
གོ,519
ནམ,516
ཏོག,515
ལམ,505
ཕྱི,501
རིན,497
དཀའ,492
ཁོང,490
རེ,476
ཡང,476
བཞག,472
གཙོ,469
བྱུང,465
བདེ,462
དགོན,455
བཀའ,455
བསྟན,447
ཐམས,443
འབྱུང,443
ཆུང,438
ཆ,433
ཁྱད,429
ཐ,425
ན,422
འགྱུར,422
རྗེས,414
བཟོ,410
གསུངས,409
གསར,405
དེ་ཡིན,404
ལགས,399
སྡུག,398
མངོན,396
གཉིས,396
ངེས,393
ཉེས,391
རིམ,384
མཚན,383
སངས,382
མ་ཡིན,382
མི་འདུག,382
ཐོག,379
དེང,374
ཐུབ,371
མཐུན,370
འོ,364
ཆེ,364
བུ,362
རྩ,362
ཕན,359
རྒྱུ,358
ཙམ,354
ཅི,354
ཨེ,353
ཁྱོད,352
སྐུ,348
ཡ,348
གྲྭ,347
ཡིག,346
དོན,343
བདག,340
ལག,340
ལྷག,333
དབང,327
མཐོང,326
འབྲེལ,320
འབྲས,319
ངོ,317
དགའ,317
ངོས,310
ཕལ,301
གཏོང,301
རིན་པོ,300
ལྷ,299
བཏང,299
བརྗོད,296
དཔེར,293
-ཨ,292
གྱུར,292
ལྡན,290
ཉེ,290
ཀུན,289
སྒྲིག,286
གཙང,285
སྐྱེས,285
སྡོམ,282
བཅུ,281
ཚེ,279
ཕྱག,276
ཉིན,269
ཁྱིམ,265
གཟུགས,262
དཀར,262
བཅོམ,261
མཆོད,259
བློ,256
བཞི,255
སྙན,255
-དེ,255
ཚར,254
རི,254
ད་ག,253
ལྔ,252
ཞིབ,249
ཟ,249
ཟླ,248
ཏག,248
སྙིང,248
བཀྲ,246
ཡུལ,244
འཇུག,244
སྲིད,243
བཙུན,242
འོན,242
བར,241
འཇིག,240
ཕྲུ,239
ཡི,238
གསལ,238
བཅོམ་ལྡན,237
ཆགས,237
སྦྱོར,235
འཚོ,234
ཐོབ,231
ཡན,230
སྤྱོད,230
དད,230
ཡར,228
གསུང,227
ཡིད,226
སྦྱིན,226
དངོས་གནས,225
མཚོན,225
མཉམ,223
འདུ,222
བྱང,219
ལྟུང,216
དྲན,216
མཐའ,215
གསུམ,215
དངོས་གནས་དྲང,214
ཐུགས,210
ལེན,209
དེ་ལྟ,209
ཉོན,204
གལ་ཆེན,204
དྲི,204
སྔ,203
མཁས,200
ལེགས,200
ཏིག,199
ཞོགས,198
བསླབ,198
